district,date,month,year,visitors,Type
Komaram Bheem Asifabad,01-10-2017,October,2017,0,Foreign
Komaram Bheem Asifabad,01-11-2017,November,2017,0,Foreign
Komaram Bheem Asifabad,01-12-2017,December,2017,0,Foreign
Mahabubabad ,01-01-2017,January,2017,0,Foreign
Mahabubabad ,01-02-2017,February,2017,0,Foreign
Mahabubabad ,01-03-2017,March,2017,0,Foreign
Mahabubabad ,01-04-2017,April,2017,0,Foreign
Mahabubabad ,01-05-2017,May,2017,0,Foreign
Mahabubabad ,01-06-2017,June,2017,0,Foreign
Mahabubabad ,01-07-2017,July,2017,0,Foreign
Mahabubabad ,01-08-2017,August,2017,0,Foreign
Mahabubabad ,01-09-2017,September,2017,0,Foreign
Mahabubabad ,01-10-2017,October,2017,0,Foreign
Mahabubabad ,01-11-2017,November,2017,0,Foreign
Mahabubabad ,01-12-2017,December,2017,0,Foreign
Mahbubnagar,01-01-2017,January,2017,42,Foreign
Mahbubnagar,01-02-2017,February,2017,39,Foreign
Mahbubnagar,01-03-2017,March,2017,38,Foreign
Mahbubnagar,01-04-2017,April,2017,39,Foreign
Mahbubnagar,01-05-2017,May,2017,41,Foreign
Mahbubnagar,01-06-2017,June,2017,43,Foreign
Mahbubnagar,01-07-2017,July,2017,42,Foreign
Mahbubnagar,01-08-2017,August,2017,44,Foreign
Mahbubnagar,01-09-2017,September,2017,54,Foreign
Mahbubnagar,01-10-2017,October,2017,47,Foreign
Mahbubnagar,01-11-2017,November,2017,49,Foreign
Mahbubnagar,01-12-2017,December,2017,42,Foreign
Mancherial,01-01-2017,January,2017,0,Foreign
Mancherial,01-02-2017,February,2017,0,Foreign
Mancherial,01-03-2017,March,2017,0,Foreign
Mancherial,01-04-2017,April,2017,0,Foreign
Mancherial,01-05-2017,May,2017,0,Foreign
Mancherial,01-06-2017,June,2017, ,Foreign
Mancherial,01-07-2017,July,2017,0,Foreign
Mancherial,01-08-2017,August,2017,0,Foreign
Mancherial,01-09-2017,September,2017,0,Foreign
Mancherial,01-10-2017,October,2017,0,Foreign
Mancherial,01-11-2017,November,2017,0,Foreign
Mancherial,01-12-2017,December,2017,0,Foreign
Medak ,01-01-2017,January,2017,0,Foreign
Medak ,01-02-2017,February,2017,0,Foreign
Medak ,01-03-2017,March,2017,0,Foreign
Medak ,01-04-2017,April,2017,0,Foreign
Medak ,01-05-2017,May,2017,0,Foreign
Medak ,01-06-2017,June,2017,0,Foreign
Medak ,01-07-2017,July,2017,0,Foreign
Medak ,01-08-2017,August,2017,0,Foreign
Medak ,01-09-2017,September,2017,0,Foreign
Medak ,01-10-2017,October,2017,0,Foreign
Medak ,01-11-2017,November,2017,0,Foreign
Medak ,01-12-2017,December,2017,0,Foreign
Medchal ,01-01-2017,January,2017, ,Foreign
Medchal ,01-02-2017,February,2017, ,Foreign
Medchal ,01-03-2017,March,2017, ,Foreign
Medchal ,01-04-2017,April,2017, ,Foreign
Medchal ,01-05-2017,May,2017, ,Foreign
Medchal ,01-06-2017,June,2017, ,Foreign
Medchal ,01-07-2017,July,2017, ,Foreign
Medchal ,01-08-2017,August,2017, ,Foreign
Medchal ,01-09-2017,September,2017, ,Foreign
Medchal ,01-10-2017,October,2017, ,Foreign
Medchal ,01-11-2017,November,2017, ,Foreign
Medchal ,01-12-2017,December,2017, ,Foreign
Nagarkurnool ,01-01-2017,January,2017,19,Foreign
Nagarkurnool ,01-02-2017,February,2017,25,Foreign
Nagarkurnool ,01-03-2017,March,2017,24,Foreign
Nagarkurnool ,01-04-2017,April,2017,29,Foreign
Nagarkurnool ,01-05-2017,May,2017,31,Foreign
Nagarkurnool ,01-06-2017,June,2017,35,Foreign
Nagarkurnool ,01-07-2017,July,2017,25,Foreign
Nagarkurnool ,01-08-2017,August,2017,23,Foreign
Nagarkurnool ,01-09-2017,September,2017,32,Foreign
Nagarkurnool ,01-10-2017,October,2017,18,Foreign
Nagarkurnool ,01-11-2017,November,2017,21,Foreign
Nagarkurnool ,01-12-2017,December,2017,29,Foreign
Nalgonda,01-01-2017,January,2017,0,Foreign
Nalgonda,01-02-2017,February,2017,0,Foreign
Nalgonda,01-03-2017,March,2017,0,Foreign
Nalgonda,01-04-2017,April,2017,0,Foreign
Nalgonda,01-05-2017,May,2017,0,Foreign
Nalgonda,01-06-2017,June,2017,0,Foreign
Nalgonda,01-07-2017,July,2017,0,Foreign
Nalgonda,01-08-2017,August,2017,0,Foreign
Nalgonda,01-09-2017,September,2017,0,Foreign
Nalgonda,01-10-2017,October,2017,0,Foreign
Nalgonda,01-11-2017,November,2017,0,Foreign
Nalgonda,01-12-2017,December,2017,0,Foreign
Nirmal,01-01-2017,January,2017,0,Foreign
Nirmal,01-02-2017,February,2017,0,Foreign
Nirmal,01-03-2017,March,2017,0,Foreign
Nirmal,01-04-2017,April,2017,0,Foreign
Nirmal,01-05-2017,May,2017,0,Foreign
Nirmal,01-06-2017,June,2017, ,Foreign
Nirmal,01-07-2017,July,2017,0,Foreign
Nirmal,01-08-2017,August,2017,0,Foreign
Nirmal,01-09-2017,September,2017,0,Foreign
Nirmal,01-10-2017,October,2017,0,Foreign
Nirmal,01-11-2017,November,2017,0,Foreign
Nirmal,01-12-2017,December,2017,0,Foreign
Nizamabad,01-01-2017,January,2017,0,Foreign
Nizamabad,01-02-2017,February,2017,0,Foreign
Nizamabad,01-03-2017,March,2017,0,Foreign
Nizamabad,01-04-2017,April,2017,2,Foreign
Nizamabad,01-05-2017,May,2017,0,Foreign
Nizamabad,01-06-2017,June,2017,0,Foreign
Nizamabad,01-07-2017,July,2017,0,Foreign
Nizamabad,01-08-2017,August,2017,0,Foreign
Nizamabad,01-09-2017,September,2017,0,Foreign
Nizamabad,01-10-2017,October,2017,0,Foreign
Nizamabad,01-11-2017,November,2017,0,Foreign
Nizamabad,01-12-2017,December,2017,0,Foreign
Peddapalli,01-01-2017,January,2017,0,Foreign
Peddapalli,01-02-2017,February,2017,0,Foreign
Peddapalli,01-03-2017,March,2017,0,Foreign
Peddapalli,01-04-2017,April,2017,0,Foreign
Peddapalli,01-05-2017,May,2017,0,Foreign
Peddapalli,01-06-2017,June,2017,0,Foreign
Peddapalli,01-07-2017,July,2017,0,Foreign
Peddapalli,01-08-2017,August,2017,0,Foreign
Peddapalli,01-09-2017,September,2017,0,Foreign
Peddapalli,01-10-2017,October,2017,0,Foreign
Peddapalli,01-11-2017,November,2017,0,Foreign
Peddapalli,01-12-2017,December,2017,0,Foreign
Rajanna Sircilla ,01-01-2017,January,2017,0,Foreign
Rajanna Sircilla ,01-02-2017,February,2017,0,Foreign
Rajanna Sircilla ,01-03-2017,March,2017,0,Foreign
Rajanna Sircilla ,01-04-2017,April,2017,0,Foreign
Rajanna Sircilla ,01-05-2017,May,2017,0,Foreign
Rajanna Sircilla ,01-06-2017,June,2017,0,Foreign
Rajanna Sircilla ,01-07-2017,July,2017,0,Foreign
Rajanna Sircilla ,01-08-2017,August,2017,0,Foreign
Rajanna Sircilla ,01-09-2017,September,2017,0,Foreign
Rajanna Sircilla ,01-10-2017,October,2017,0,Foreign
Rajanna Sircilla ,01-11-2017,November,2017,0,Foreign
Rajanna Sircilla ,01-12-2017,December,2017,0,Foreign
Ranga Reddy,01-01-2017,January,2017, ,Foreign
Ranga Reddy,01-02-2017,February,2017, ,Foreign
Ranga Reddy,01-03-2017,March,2017, ,Foreign
Ranga Reddy,01-04-2017,April,2017, ,Foreign
Ranga Reddy,01-05-2017,May,2017, ,Foreign
Ranga Reddy,01-06-2017,June,2017, ,Foreign
Ranga Reddy,01-07-2017,July,2017, ,Foreign
Ranga Reddy,01-08-2017,August,2017, ,Foreign
Ranga Reddy,01-09-2017,September,2017, ,Foreign
Ranga Reddy,01-10-2017,October,2017, ,Foreign
Ranga Reddy,01-11-2017,November,2017, ,Foreign
Ranga Reddy,01-12-2017,December,2017, ,Foreign
Sangareddy ,01-01-2017,January,2017,0,Foreign
Sangareddy ,01-02-2017,February,2017,0,Foreign
Sangareddy ,01-03-2017,March,2017,0,Foreign
Sangareddy ,01-04-2017,April,2017,0,Foreign
Sangareddy ,01-05-2017,May,2017,0,Foreign
Sangareddy ,01-06-2017,June,2017,0,Foreign
Sangareddy ,01-07-2017,July,2017,0,Foreign
Sangareddy ,01-08-2017,August,2017,0,Foreign
Sangareddy ,01-09-2017,September,2017,0,Foreign
Sangareddy ,01-10-2017,October,2017,0,Foreign
Sangareddy ,01-11-2017,November,2017,0,Foreign
Sangareddy ,01-12-2017,December,2017,0,Foreign
Siddipet,01-01-2017,January,2017,0,Foreign
Siddipet,01-02-2017,February,2017,0,Foreign
Siddipet,01-03-2017,March,2017,0,Foreign
Siddipet,01-04-2017,April,2017,0,Foreign
Siddipet,01-05-2017,May,2017,0,Foreign
Siddipet,01-06-2017,June,2017,0,Foreign
Siddipet,01-07-2017,July,2017,0,Foreign
Siddipet,01-08-2017,August,2017,0,Foreign
Siddipet,01-09-2017,September,2017,0,Foreign
Siddipet,01-10-2017,October,2017,0,Foreign
Siddipet,01-11-2017,November,2017,0,Foreign
Siddipet,01-12-2017,December,2017,0,Foreign
Suryapet,01-01-2017,January,2017,0,Foreign
Suryapet,01-02-2017,February,2017,0,Foreign
Suryapet,01-03-2017,March,2017,0,Foreign
Suryapet,01-04-2017,April,2017,0,Foreign
Suryapet,01-05-2017,May,2017,0,Foreign
Suryapet,01-06-2017,June,2017,0,Foreign
Suryapet,01-07-2017,July,2017,0,Foreign
Suryapet,01-08-2017,August,2017,0,Foreign
Suryapet,01-09-2017,September,2017,0,Foreign
Suryapet,01-10-2017,October,2017,0,Foreign
Suryapet,01-11-2017,November,2017,0,Foreign
Suryapet,01-12-2017,December,2017,0,Foreign
Vikarabad,01-01-2017,January,2017, ,Foreign
Vikarabad,01-02-2017,February,2017, ,Foreign
Vikarabad,01-03-2017,March,2017, ,Foreign
Vikarabad,01-04-2017,April,2017, ,Foreign
Vikarabad,01-05-2017,May,2017, ,Foreign
Vikarabad,01-06-2017,June,2017, ,Foreign
Vikarabad,01-07-2017,July,2017, ,Foreign
Vikarabad,01-08-2017,August,2017, ,Foreign
Vikarabad,01-09-2017,September,2017, ,Foreign
Vikarabad,01-10-2017,October,2017, ,Foreign
Vikarabad,01-11-2017,November,2017, ,Foreign
Vikarabad,01-12-2017,December,2017, ,Foreign
Wanaparthy ,01-01-2017,January,2017,0,Foreign
Wanaparthy ,01-02-2017,February,2017,0,Foreign
Wanaparthy ,01-03-2017,March,2017,0,Foreign
Wanaparthy ,01-04-2017,April,2017,0,Foreign
Wanaparthy ,01-05-2017,May,2017,0,Foreign
Wanaparthy ,01-06-2017,June,2017,0,Foreign
Wanaparthy ,01-07-2017,July,2017,0,Foreign
Wanaparthy ,01-08-2017,August,2017,0,Foreign
Wanaparthy ,01-09-2017,September,2017,0,Foreign
Wanaparthy ,01-10-2017,October,2017,0,Foreign
Wanaparthy ,01-11-2017,November,2017,0,Foreign
Wanaparthy ,01-12-2017,December,2017,0,Foreign
Warangal (Rural),01-01-2017,January,2017,35,Foreign
Warangal (Rural),01-02-2017,February,2017,25,Foreign
Warangal (Rural),01-03-2017,March,2017,17,Foreign
Warangal (Rural),01-04-2017,April,2017,19,Foreign
Warangal (Rural),01-05-2017,May,2017,21,Foreign
Warangal (Rural),01-06-2017,June,2017,24,Foreign
Warangal (Rural),01-07-2017,July,2017,25,Foreign
Warangal (Rural),01-08-2017,August,2017,28,Foreign
Warangal (Rural),01-09-2017,September,2017,26,Foreign
Warangal (Rural),01-10-2017,October,2017,25,Foreign
Warangal (Rural),01-11-2017,November,2017,29,Foreign
Warangal (Rural),01-12-2017,December,2017,32,Foreign
Warangal (Urban),01-01-2017,January,2017,235,Foreign
Warangal (Urban),01-02-2017,February,2017,242,Foreign
Warangal (Urban),01-03-2017,March,2017,238,Foreign
Warangal (Urban),01-04-2017,April,2017,209,Foreign
Warangal (Urban),01-05-2017,May,2017,211,Foreign
Warangal (Urban),01-06-2017,June,2017,194,Foreign
Warangal (Urban),01-07-2017,July,2017,116,Foreign
Warangal (Urban),01-08-2017,August,2017,219,Foreign
Warangal (Urban),01-09-2017,September,2017,225,Foreign
Warangal (Urban),01-10-2017,October,2017,236,Foreign
Warangal (Urban),01-11-2017,November,2017,255,Foreign
Warangal (Urban),01-12-2017,December,2017,250,Foreign
Yadadri Bhongir,01-01-2017,January,2017,0,Foreign
Yadadri Bhongir,01-02-2017,February,2017,0,Foreign
Yadadri Bhongir,01-03-2017,March,2017,0,Foreign
Yadadri Bhongir,01-04-2017,April,2017,0,Foreign
Yadadri Bhongir,01-05-2017,May,2017,0,Foreign
Yadadri Bhongir,01-06-2017,June,2017,0,Foreign
Yadadri Bhongir,01-07-2017,July,2017,0,Foreign
Yadadri Bhongir,01-08-2017,August,2017,0,Foreign
Yadadri Bhongir,01-09-2017,September,2017,0,Foreign
Yadadri Bhongir,01-10-2017,October,2017,0,Foreign
Yadadri Bhongir,01-11-2017,November,2017,0,Foreign
Yadadri Bhongir,01-12-2017,December,2017,0,Foreign
Adilabad,01-01-2018,January,2018,0,Foreign
Adilabad,01-02-2018,February,2018,0,Foreign
Adilabad,01-03-2018,March,2018,0,Foreign
Adilabad,01-04-2018,April,2018,0,Foreign
Adilabad,01-05-2018,May,2018,0,Foreign
Adilabad,01-06-2018,June,2018,0,Foreign
Adilabad,01-07-2018,July,2018,2,Foreign
Adilabad,01-08-2018,August,2018,3,Foreign
Adilabad,01-09-2018,September,2018,0,Foreign
Adilabad,01-10-2018,October,2018,0,Foreign
Adilabad,01-11-2018,November,2018,0,Foreign
Adilabad,01-12-2018,December,2018,0,Foreign
Bhadradri Kothagudem ,01-01-2018,January,2018,0,Foreign
Bhadradri Kothagudem ,01-02-2018,February,2018,0,Foreign
Bhadradri Kothagudem ,01-03-2018,March,2018,0,Foreign
Bhadradri Kothagudem ,01-04-2018,April,2018,0,Foreign
Bhadradri Kothagudem ,01-05-2018,May,2018,0,Foreign
Bhadradri Kothagudem ,01-06-2018,June,2018,0,Foreign
Bhadradri Kothagudem ,01-07-2018,July,2018,0,Foreign
Bhadradri Kothagudem ,01-08-2018,August,2018,0,Foreign
Bhadradri Kothagudem ,01-09-2018,September,2018,0,Foreign
Bhadradri Kothagudem ,01-10-2018,October,2018,0,Foreign
Bhadradri Kothagudem ,01-11-2018,November,2018,0,Foreign
Bhadradri Kothagudem ,01-12-2018,December,2018,0,Foreign
Hyderabad,01-01-2018,January,2018,35379,Foreign
Hyderabad,01-02-2018,February,2018,30414,Foreign
Hyderabad,01-03-2018,March,2018,27535,Foreign
Hyderabad,01-04-2018,April,2018,20830,Foreign
Hyderabad,01-05-2018,May,2018,21554,Foreign
Hyderabad,01-06-2018,June,2018,24677,Foreign
Hyderabad,01-07-2018,July,2018,17456,Foreign
Hyderabad,01-08-2018,August,2018,31217,Foreign
Hyderabad,01-09-2018,September,2018,22809,Foreign
Hyderabad,01-10-2018,October,2018,30072,Foreign
Hyderabad,01-11-2018,November,2018,23487,Foreign
Hyderabad,01-12-2018,December,2018,29358,Foreign
Jagtial ,01-01-2018,January,2018,0,Foreign
Jagtial ,01-02-2018,February,2018,0,Foreign
Jagtial ,01-03-2018,March,2018,0,Foreign
Jagtial ,01-04-2018,April,2018,0,Foreign
Jagtial ,01-05-2018,May,2018,0,Foreign
Jagtial ,01-06-2018,June,2018,0,Foreign
Jagtial ,01-07-2018,July,2018,0,Foreign
Jagtial ,01-08-2018,August,2018,0,Foreign
Jagtial ,01-09-2018,September,2018,0,Foreign
Jagtial ,01-10-2018,October,2018,0,Foreign
Jagtial ,01-11-2018,November,2018,0,Foreign
Jagtial ,01-12-2018,December,2018,0,Foreign
Jangaon ,01-01-2018,January,2018,0,Foreign
Jangaon ,01-02-2018,February,2018,0,Foreign
Jangaon ,01-03-2018,March,2018,0,Foreign
Jangaon ,01-04-2018,April,2018,0,Foreign
Jangaon ,01-05-2018,May,2018,0,Foreign
Jangaon ,01-06-2018,June,2018,0,Foreign
Jangaon ,01-07-2018,July,2018,0,Foreign
Jangaon ,01-08-2018,August,2018,0,Foreign
Jangaon ,01-09-2018,September,2018,0,Foreign
Jangaon ,01-10-2018,October,2018,0,Foreign
Jangaon ,01-11-2018,November,2018,0,Foreign
Jangaon ,01-12-2018,December,2018,0,Foreign
Jayashankar Bhoopalpally,01-01-2018,January,2018,50,Foreign
Jayashankar Bhoopalpally,01-02-2018,February,2018,60,Foreign
Jayashankar Bhoopalpally,01-03-2018,March,2018,70,Foreign
Jayashankar Bhoopalpally,01-04-2018,April,2018,45,Foreign
Jayashankar Bhoopalpally,01-05-2018,May,2018,40,Foreign
Jayashankar Bhoopalpally,01-06-2018,June,2018,35,Foreign
Jayashankar Bhoopalpally,01-07-2018,July,2018,40,Foreign
Jayashankar Bhoopalpally,01-08-2018,August,2018,35,Foreign
Jayashankar Bhoopalpally,01-09-2018,September,2018,40,Foreign
Jayashankar Bhoopalpally,01-10-2018,October,2018,40,Foreign
Jayashankar Bhoopalpally,01-11-2018,November,2018,40,Foreign
Jayashankar Bhoopalpally,01-12-2018,December,2018,44,Foreign
Jogulamba Gadwal ,01-01-2018,January,2018,36,Foreign
Jogulamba Gadwal ,01-02-2018,February,2018,6,Foreign
Jogulamba Gadwal ,01-03-2018,March,2018,22,Foreign
Jogulamba Gadwal ,01-04-2018,April,2018,15,Foreign
Jogulamba Gadwal ,01-05-2018,May,2018,19,Foreign
Jogulamba Gadwal ,01-06-2018,June,2018,19,Foreign
Jogulamba Gadwal ,01-07-2018,July,2018,37,Foreign
Jogulamba Gadwal ,01-08-2018,August,2018,42,Foreign
Jogulamba Gadwal ,01-09-2018,September,2018,35,Foreign
Jogulamba Gadwal ,01-10-2018,October,2018,13,Foreign
Jogulamba Gadwal ,01-11-2018,November,2018,45,Foreign
Jogulamba Gadwal ,01-12-2018,December,2018,11,Foreign
Kamareddy ,01-01-2018,January,2018,0,Foreign
Kamareddy ,01-02-2018,February,2018,0,Foreign
Kamareddy ,01-03-2018,March,2018,0,Foreign
Kamareddy ,01-04-2018,April,2018,0,Foreign
Kamareddy ,01-05-2018,May,2018,0,Foreign
Kamareddy ,01-06-2018,June,2018,0,Foreign
Kamareddy ,01-07-2018,July,2018,0,Foreign
Kamareddy ,01-08-2018,August,2018, ,Foreign
Kamareddy ,01-09-2018,September,2018, ,Foreign
Kamareddy ,01-10-2018,October,2018,0,Foreign
Kamareddy ,01-11-2018,November,2018,0,Foreign
Kamareddy ,01-12-2018,December,2018,0,Foreign
Karimnagar ,01-01-2018,January,2018,0,Foreign
Karimnagar ,01-02-2018,February,2018,0,Foreign
Karimnagar ,01-03-2018,March,2018,0,Foreign
Karimnagar ,01-04-2018,April,2018,0,Foreign
Karimnagar ,01-05-2018,May,2018,0,Foreign
Karimnagar ,01-06-2018,June,2018,0,Foreign
Karimnagar ,01-07-2018,July,2018,0,Foreign
Karimnagar ,01-08-2018,August,2018,0,Foreign
Karimnagar ,01-09-2018,September,2018,0,Foreign
Karimnagar ,01-10-2018,October,2018,0,Foreign
Karimnagar ,01-11-2018,November,2018,0,Foreign
Karimnagar ,01-12-2018,December,2018,0,Foreign
Khammam,01-01-2018,January,2018,0,Foreign
Khammam,01-02-2018,February,2018,0,Foreign
Khammam,01-03-2018,March,2018,0,Foreign
Khammam,01-04-2018,April,2018,0,Foreign
Khammam,01-05-2018,May,2018,0,Foreign
Khammam,01-06-2018,June,2018,0,Foreign
Khammam,01-07-2018,July,2018,0,Foreign
Khammam,01-08-2018,August,2018,0,Foreign
Khammam,01-09-2018,September,2018,0,Foreign
Khammam,01-10-2018,October,2018,0,Foreign
Khammam,01-11-2018,November,2018,0,Foreign
Khammam,01-12-2018,December,2018,0,Foreign
Komaram Bheem Asifabad,01-01-2018,January,2018,0,Foreign
Komaram Bheem Asifabad,01-02-2018,February,2018,0,Foreign
Komaram Bheem Asifabad,01-03-2018,March,2018,0,Foreign
Komaram Bheem Asifabad,01-04-2018,April,2018,0,Foreign
Komaram Bheem Asifabad,01-05-2018,May,2018,0,Foreign
Komaram Bheem Asifabad,01-06-2018,June,2018,0,Foreign
Komaram Bheem Asifabad,01-07-2018,July,2018,0,Foreign
Komaram Bheem Asifabad,01-08-2018,August,2018,0,Foreign
Komaram Bheem Asifabad,01-09-2018,September,2018,0,Foreign
Komaram Bheem Asifabad,01-10-2018,October,2018,0,Foreign
Komaram Bheem Asifabad,01-11-2018,November,2018,0,Foreign
Komaram Bheem Asifabad,01-12-2018,December,2018,0,Foreign
Mahabubabad ,01-01-2018,January,2018,0,Foreign
Mahabubabad ,01-02-2018,February,2018,0,Foreign
Mahabubabad ,01-03-2018,March,2018,0,Foreign
Mahabubabad ,01-04-2018,April,2018,0,Foreign
Mahabubabad ,01-05-2018,May,2018,0,Foreign
Mahabubabad ,01-06-2018,June,2018,0,Foreign
Mahabubabad ,01-07-2018,July,2018,0,Foreign
Mahabubabad ,01-08-2018,August,2018,0,Foreign
Mahabubabad ,01-09-2018,September,2018,0,Foreign
Mahabubabad ,01-10-2018,October,2018,0,Foreign
Mahabubabad ,01-11-2018,November,2018,0,Foreign
Mahabubabad ,01-12-2018,December,2018,0,Foreign
Mahbubnagar,01-01-2018,January,2018,45,Foreign
Mahbubnagar,01-02-2018,February,2018,29,Foreign
Mahbubnagar,01-03-2018,March,2018,28,Foreign
Mahbubnagar,01-04-2018,April,2018,26,Foreign
Mahbubnagar,01-05-2018,May,2018,26,Foreign
Mahbubnagar,01-06-2018,June,2018,26,Foreign
Mahbubnagar,01-07-2018,July,2018,47,Foreign
Mahbubnagar,01-08-2018,August,2018,44,Foreign
Mahbubnagar,01-09-2018,September,2018,52,Foreign
Mahbubnagar,01-10-2018,October,2018,37,Foreign
Mahbubnagar,01-11-2018,November,2018,68,Foreign
Mahbubnagar,01-12-2018,December,2018,26,Foreign
Mancherial,01-01-2018,January,2018,0,Foreign
Mancherial,01-02-2018,February,2018,0,Foreign
Mancherial,01-03-2018,March,2018,0,Foreign
Mancherial,01-04-2018,April,2018,0,Foreign
Mancherial,01-05-2018,May,2018,0,Foreign
Mancherial,01-06-2018,June,2018,0,Foreign
Mancherial,01-07-2018,July,2018,0,Foreign
Mancherial,01-08-2018,August,2018,0,Foreign
Mancherial,01-09-2018,September,2018,0,Foreign
Mancherial,01-10-2018,October,2018,0,Foreign
Mancherial,01-11-2018,November,2018,0,Foreign
Mancherial,01-12-2018,December,2018,0,Foreign
Medak ,01-01-2018,January,2018,0,Foreign
Medak ,01-02-2018,February,2018,0,Foreign
Medak ,01-03-2018,March,2018,0,Foreign
Medak ,01-04-2018,April,2018,0,Foreign
Medak ,01-05-2018,May,2018,0,Foreign
Medak ,01-06-2018,June,2018,0,Foreign
Medak ,01-07-2018,July,2018,0,Foreign
Medak ,01-08-2018,August,2018,0,Foreign
Medak ,01-09-2018,September,2018,0,Foreign
Medak ,01-10-2018,October,2018,0,Foreign
Medak ,01-11-2018,November,2018,0,Foreign
Medak ,01-12-2018,December,2018,0,Foreign
Medchal ,01-01-2018,January,2018, ,Foreign
Medchal ,01-02-2018,February,2018, ,Foreign
Medchal ,01-03-2018,March,2018, ,Foreign
Medchal ,01-04-2018,April,2018, ,Foreign
Medchal ,01-05-2018,May,2018, ,Foreign
Medchal ,01-06-2018,June,2018, ,Foreign
Medchal ,01-07-2018,July,2018, ,Foreign
Medchal ,01-08-2018,August,2018, ,Foreign
Medchal ,01-09-2018,September,2018, ,Foreign
Medchal ,01-10-2018,October,2018, ,Foreign
Medchal ,01-11-2018,November,2018, ,Foreign
Medchal ,01-12-2018,December,2018, ,Foreign
Nagarkurnool ,01-01-2018,January,2018,35,Foreign
Nagarkurnool ,01-02-2018,February,2018,15,Foreign
Nagarkurnool ,01-03-2018,March,2018,14,Foreign
Nagarkurnool ,01-04-2018,April,2018,15,Foreign
Nagarkurnool ,01-05-2018,May,2018,19,Foreign
Nagarkurnool ,01-06-2018,June,2018,15,Foreign
Nagarkurnool ,01-07-2018,July,2018,17,Foreign
Nagarkurnool ,01-08-2018,August,2018,22,Foreign
Nagarkurnool ,01-09-2018,September,2018,22,Foreign
Nagarkurnool ,01-10-2018,October,2018,8,Foreign
Nagarkurnool ,01-11-2018,November,2018,30,Foreign
Nagarkurnool ,01-12-2018,December,2018,10,Foreign
Nalgonda,01-01-2018,January,2018,0,Foreign
Nalgonda,01-02-2018,February,2018,0,Foreign
Nalgonda,01-03-2018,March,2018,0,Foreign
Nalgonda,01-04-2018,April,2018,0,Foreign
Nalgonda,01-05-2018,May,2018,0,Foreign
Nalgonda,01-06-2018,June,2018,0,Foreign
Nalgonda,01-07-2018,July,2018,0,Foreign
Nalgonda,01-08-2018,August,2018,0,Foreign
Nalgonda,01-09-2018,September,2018,0,Foreign
Nalgonda,01-10-2018,October,2018,0,Foreign
Nalgonda,01-11-2018,November,2018,0,Foreign
Nalgonda,01-12-2018,December,2018,0,Foreign
Nirmal,01-01-2018,January,2018,0,Foreign
Nirmal,01-02-2018,February,2018,0,Foreign
Nirmal,01-03-2018,March,2018,0,Foreign
Nirmal,01-04-2018,April,2018,0,Foreign
Nirmal,01-05-2018,May,2018,0,Foreign
Nirmal,01-06-2018,June,2018,0,Foreign
Nirmal,01-07-2018,July,2018,0,Foreign
Nirmal,01-08-2018,August,2018,2,Foreign
Nirmal,01-09-2018,September,2018,0,Foreign
Nirmal,01-10-2018,October,2018,0,Foreign
Nirmal,01-11-2018,November,2018,0,Foreign
Nirmal,01-12-2018,December,2018,0,Foreign
Nizamabad,01-01-2018,January,2018,1,Foreign
Nizamabad,01-02-2018,February,2018,0,Foreign
Nizamabad,01-03-2018,March,2018,0,Foreign
Nizamabad,01-04-2018,April,2018,0,Foreign
Nizamabad,01-05-2018,May,2018,0,Foreign
Nizamabad,01-06-2018,June,2018,0,Foreign
Nizamabad,01-07-2018,July,2018,1,Foreign
Nizamabad,01-08-2018,August,2018,0,Foreign
Nizamabad,01-09-2018,September,2018,0,Foreign
Nizamabad,01-10-2018,October,2018,0,Foreign
Nizamabad,01-11-2018,November,2018,0,Foreign
Nizamabad,01-12-2018,December,2018,0,Foreign
Peddapalli,01-01-2018,January,2018,0,Foreign
Peddapalli,01-02-2018,February,2018,0,Foreign
Peddapalli,01-03-2018,March,2018,0,Foreign
Peddapalli,01-04-2018,April,2018,0,Foreign
Peddapalli,01-05-2018,May,2018,0,Foreign
Peddapalli,01-06-2018,June,2018,0,Foreign
Peddapalli,01-07-2018,July,2018,0,Foreign
Peddapalli,01-08-2018,August,2018,0,Foreign
Peddapalli,01-09-2018,September,2018,0,Foreign
Peddapalli,01-10-2018,October,2018,0,Foreign
Peddapalli,01-11-2018,November,2018,0,Foreign
Peddapalli,01-12-2018,December,2018,0,Foreign
Rajanna Sircilla ,01-01-2018,January,2018,0,Foreign
Rajanna Sircilla ,01-02-2018,February,2018,0,Foreign
Rajanna Sircilla ,01-03-2018,March,2018,0,Foreign
Rajanna Sircilla ,01-04-2018,April,2018,0,Foreign
Rajanna Sircilla ,01-05-2018,May,2018,0,Foreign
Rajanna Sircilla ,01-06-2018,June,2018,0,Foreign
Rajanna Sircilla ,01-07-2018,July,2018,0,Foreign
Rajanna Sircilla ,01-08-2018,August,2018,0,Foreign
Rajanna Sircilla ,01-09-2018,September,2018,0,Foreign
Rajanna Sircilla ,01-10-2018,October,2018,0,Foreign
Rajanna Sircilla ,01-11-2018,November,2018,0,Foreign
Rajanna Sircilla ,01-12-2018,December,2018,0,Foreign
Ranga Reddy,01-01-2018,January,2018, ,Foreign
Ranga Reddy,01-02-2018,February,2018, ,Foreign
Ranga Reddy,01-03-2018,March,2018, ,Foreign
Ranga Reddy,01-04-2018,April,2018, ,Foreign
Ranga Reddy,01-05-2018,May,2018, ,Foreign
