district,date,month,year,visitors,Type
Khammam,01-05-2016,May,2016,0,Foreign
Khammam,01-06-2016,June,2016,0,Foreign
Khammam,01-07-2016,July,2016,0,Foreign
Khammam,01-08-2016,August,2016,0,Foreign
Khammam,01-09-2016,September,2016,0,Foreign
Khammam,01-10-2016,October,2016,0,Foreign
Khammam,01-11-2016,November,2016,0,Foreign
Khammam,01-12-2016,December,2016,0,Foreign
Komaram Bheem Asifabad,01-01-2016,January,2016, ,Foreign
Komaram Bheem Asifabad,01-02-2016,February,2016, ,Foreign
Komaram Bheem Asifabad,01-03-2016,March,2016, ,Foreign
Komaram Bheem Asifabad,01-04-2016,April,2016, ,Foreign
Komaram Bheem Asifabad,01-05-2016,May,2016, ,Foreign
Komaram Bheem Asifabad,01-06-2016,June,2016, ,Foreign
Komaram Bheem Asifabad,01-07-2016,July,2016, ,Foreign
Komaram Bheem Asifabad,01-08-2016,August,2016, ,Foreign
Komaram Bheem Asifabad,01-09-2016,September,2016, ,Foreign
Komaram Bheem Asifabad,01-10-2016,October,2016,0,Foreign
Komaram Bheem Asifabad,01-11-2016,November,2016,0,Foreign
Komaram Bheem Asifabad,01-12-2016,December,2016,0,Foreign
Mahabubabad ,01-01-2016,January,2016, ,Foreign
Mahabubabad ,01-02-2016,February,2016, ,Foreign
Mahabubabad ,01-03-2016,March,2016, ,Foreign
Mahabubabad ,01-04-2016,April,2016, ,Foreign
Mahabubabad ,01-05-2016,May,2016, ,Foreign
Mahabubabad ,01-06-2016,June,2016, ,Foreign
Mahabubabad ,01-07-2016,July,2016, ,Foreign
Mahabubabad ,01-08-2016,August,2016, ,Foreign
Mahabubabad ,01-09-2016,September,2016, ,Foreign
Mahabubabad ,01-10-2016,October,2016,0,Foreign
Mahabubabad ,01-11-2016,November,2016,0,Foreign
Mahabubabad ,01-12-2016,December,2016,0,Foreign
Mahbubnagar,01-01-2016,January,2016,123,Foreign
Mahbubnagar,01-02-2016,February,2016,126,Foreign
Mahbubnagar,01-03-2016,March,2016,103,Foreign
Mahbubnagar,01-04-2016,April,2016,75,Foreign
Mahbubnagar,01-05-2016,May,2016,58,Foreign
Mahbubnagar,01-06-2016,June,2016,68,Foreign
Mahbubnagar,01-07-2016,July,2016,63,Foreign
Mahbubnagar,01-08-2016,August,2016,86,Foreign
Mahbubnagar,01-09-2016,September,2016,74,Foreign
Mahbubnagar,01-10-2016,October,2016,37,Foreign
Mahbubnagar,01-11-2016,November,2016,29,Foreign
Mahbubnagar,01-12-2016,December,2016,26,Foreign
Mancherial,01-01-2016,January,2016, ,Foreign
Mancherial,01-02-2016,February,2016, ,Foreign
Mancherial,01-03-2016,March,2016, ,Foreign
Mancherial,01-04-2016,April,2016, ,Foreign
Mancherial,01-05-2016,May,2016, ,Foreign
Mancherial,01-06-2016,June,2016, ,Foreign
Mancherial,01-07-2016,July,2016, ,Foreign
Mancherial,01-08-2016,August,2016, ,Foreign
Mancherial,01-09-2016,September,2016, ,Foreign
Mancherial,01-10-2016,October,2016,0,Foreign
Mancherial,01-11-2016,November,2016,0,Foreign
Mancherial,01-12-2016,December,2016,0,Foreign
Medak ,01-01-2016,January,2016,0,Foreign
Medak ,01-02-2016,February,2016,0,Foreign
Medak ,01-03-2016,March,2016,0,Foreign
Medak ,01-04-2016,April,2016,0,Foreign
Medak ,01-05-2016,May,2016,0,Foreign
Medak ,01-06-2016,June,2016,0,Foreign
Medak ,01-07-2016,July,2016,0,Foreign
Medak ,01-08-2016,August,2016,0,Foreign
Medak ,01-09-2016,September,2016,0,Foreign
Medak ,01-10-2016,October,2016,0,Foreign
Medak ,01-11-2016,November,2016,0,Foreign
Medak ,01-12-2016,December,2016,0,Foreign
Medchal ,01-01-2016,January,2016, ,Foreign
Medchal ,01-02-2016,February,2016, ,Foreign
Medchal ,01-03-2016,March,2016, ,Foreign
Medchal ,01-04-2016,April,2016, ,Foreign
Medchal ,01-05-2016,May,2016, ,Foreign
Medchal ,01-06-2016,June,2016, ,Foreign
Medchal ,01-07-2016,July,2016, ,Foreign
Medchal ,01-08-2016,August,2016, ,Foreign
Medchal ,01-09-2016,September,2016, ,Foreign
Medchal ,01-10-2016,October,2016, ,Foreign
Medchal ,01-11-2016,November,2016, ,Foreign
Medchal ,01-12-2016,December,2016, ,Foreign
Nagarkurnool ,01-01-2016,January,2016, ,Foreign
Nagarkurnool ,01-02-2016,February,2016, ,Foreign
